name,description,instruction,ingredients,meal_type,allergen,total_calories,protein,carbs,fats,meal_difficulty,meal_cooking_time,meal_cooking_method,country_origin,diet_type
Coconut Curry,Creamy curry made with coconut milk and spices.,"Cook onions, garlic, add curry paste and coconut milk, simmer.","coconut, curry, salt, pepper",dinner,wheat/gluten allergy,522,24.0,70.69,25.74,medium,35 min,steaming,France,"['vegetarian', 'dairy_free']"
Avocado Toast,A fresh and healthy breakfast made with mashed avocado on toasted bread.,"Toast the bread, mash ripe avocado with lemon, and spread over toast. Top with salt and pepper.","avocado, toast, salt, pepper",breakfast,soy allergy,266,28.19,94.88,6.85,easy,27 min,baking,Japan,['keto']
Berry Smoothie Bowl,Refreshing smoothie bowl loaded with berries and granola.,"Blend frozen berries with yogurt, pour into a bowl, and top with granola and fresh fruits.","berry, smoothie, bowl, salt, pepper",breakfast,soy allergy,267,11.92,84.56,14.73,hard,43 min,frying,Italy,"['vegan', 'vegetarian', 'paleo']"
Greek Yogurt Parfait,"Layered Greek yogurt with honey, granola, and fresh fruit.","Layer yogurt, granola, and fruit in a glass. Drizzle honey on top.","greek, yogurt, parfait, salt, pepper",breakfast,soy allergy,625,31.55,99.1,28.97,hard,41 min,baking,Thailand,['vegetarian']
Vegan Banana Pancakes,Fluffy plant-based pancakes with banana flavor.,"Mix mashed banana with flour, almond milk, and baking powder. Cook on skillet until golden.","vegan, banana, pancakes, salt, pepper",breakfast,soy allergy,405,18.78,68.7,15.42,easy,49 min,frying,Italy,"['vegan', 'vegetarian', 'dairy_free']"
Scrambled Tofu,"A vegan alternative to scrambled eggs, rich in protein.","Crumble tofu, sauté with turmeric, onions, and spices. Serve hot.","scrambled, tofu, salt, pepper",breakfast,soy allergy,415,10.73,90.33,8.2,medium,18 min,grilling,India,['vegan']
Quinoa Salad,"Colorful salad with quinoa, chickpeas, and vegetables.","Cook quinoa, mix with chopped veggies, chickpeas, olive oil, and lemon juice.","quinoa, salad, salt, pepper",lunch,soy allergy,538,18.56,93.69,28.19,hard,52 min,baking,Mexico,"['vegan', 'keto', 'gluten_free']"
Grilled Chicken Wrap,Tender grilled chicken rolled in a soft tortilla.,"Grill chicken, slice, add lettuce and sauce, wrap in tortilla.","grilled, chicken, wrap, salt, pepper",lunch,soy allergy,391,17.76,87.48,26.08,hard,54 min,frying,Thailand,['general']
Lentil Soup,Hearty and healthy soup packed with lentils and veggies.,"Sauté onions, garlic, add lentils and broth. Simmer until soft.","lentil, soup, salt, pepper",lunch,soy allergy,638,36.86,89.25,5.58,medium,14 min,boiling,Morocco,['vegan']
Zucchini Noodle Stir-fry,Low-carb stir-fry made with spiralized zucchini.,"Sauté zucchini noodles with soy sauce, garlic, and veggies.","zucchini, noodle, stir-fry, salt, pepper",lunch,soy allergy,623,25.64,39.9,7.2,medium,13 min,boiling,USA,['general']
Stuffed Bell Peppers,"Bell peppers filled with rice, beans, and herbs.","Cut and hollow peppers, stuff with rice/beans mix, bake until tender.","stuffed, bell, peppers, salt, pepper",lunch,soy allergy,450,31.22,54.15,7.44,easy,27 min,roasting,India,"['vegan', 'gluten_free']"
Grilled Salmon,Delicious salmon fillet grilled with herbs.,"Marinate salmon with lemon and herbs, grill until flaky.","grilled, salmon, salt, pepper",dinner,soy allergy,719,29.41,92.34,23.17,hard,35 min,steaming,Japan,['general']
Vegetable Paella,Spanish rice dish with vibrant vegetables.,"Cook rice with saffron, add sautéed veggies and simmer.","vegetable, paella, salt, pepper",dinner,soy allergy,455,17.46,89.89,9.84,easy,36 min,boiling,Lebanon,['gluten_free']
Beef Stir-Fry,Quick Asian-style stir-fry with beef and veggies.,"Sear beef strips, add soy sauce, garlic, and vegetables.","beef, stir-fry, salt, pepper",dinner,soy allergy,436,36.49,53.76,14.55,medium,18 min,raw,Italy,"['vegan', 'paleo']"
Eggplant Parmesan,Baked eggplant with marinara and cheese.,"Bread eggplant slices, bake with tomato sauce and cheese.","eggplant, parmesan, salt, pepper",dinner,soy allergy,380,21.18,46.14,28.05,medium,39 min,frying,USA,"['vegetarian', 'keto']"
Coconut Curry,Creamy curry made with coconut milk and spices.,"Cook onions, garlic, add curry paste and coconut milk, simmer.","coconut, curry, salt, pepper",dinner,soy allergy,340,37.46,45.82,17.05,easy,30 min,roasting,Morocco,"['vegetarian', 'dairy_free']"
Avocado Toast,A fresh and healthy breakfast made with mashed avocado on toasted bread.,"Toast the bread, mash ripe avocado with lemon, and spread over toast. Top with salt and pepper.","avocado, toast, salt, pepper",breakfast,corn allergy,327,12.54,27.69,19.73,hard,51 min,roasting,Thailand,['keto']
Berry Smoothie Bowl,Refreshing smoothie bowl loaded with berries and granola.,"Blend frozen berries with yogurt, pour into a bowl, and top with granola and fresh fruits.","berry, smoothie, bowl, salt, pepper",breakfast,corn allergy,514,11.14,88.95,21.64,hard,57 min,steaming,India,"['vegan', 'vegetarian', 'paleo']"
Greek Yogurt Parfait,"Layered Greek yogurt with honey, granola, and fresh fruit.","Layer yogurt, granola, and fruit in a glass. Drizzle honey on top.","greek, yogurt, parfait, salt, pepper",breakfast,corn allergy,499,29.6,52.39,16.18,medium,11 min,boiling,Japan,['vegetarian']
Vegan Banana Pancakes,Fluffy plant-based pancakes with banana flavor.,"Mix mashed banana with flour, almond milk, and baking powder. Cook on skillet until golden.","vegan, banana, pancakes, salt, pepper",breakfast,corn allergy,263,14.7,23.58,27.06,easy,59 min,steaming,Italy,"['vegan', 'vegetarian', 'dairy_free']"
Scrambled Tofu,"A vegan alternative to scrambled eggs, rich in protein.","Crumble tofu, sauté with turmeric, onions, and spices. Serve hot.","scrambled, tofu, salt, pepper",breakfast,corn allergy,719,39.44,56.63,23.84,medium,16 min,steaming,Japan,['vegan']
Quinoa Salad,"Colorful salad with quinoa, chickpeas, and vegetables.","Cook quinoa, mix with chopped veggies, chickpeas, olive oil, and lemon juice.","quinoa, salad, salt, pepper",lunch,corn allergy,271,24.51,84.21,20.38,medium,32 min,baking,Italy,"['vegan', 'keto', 'gluten_free']"
Grilled Chicken Wrap,Tender grilled chicken rolled in a soft tortilla.,"Grill chicken, slice, add lettuce and sauce, wrap in tortilla.","grilled, chicken, wrap, salt, pepper",lunch,corn allergy,620,13.56,61.84,10.36,hard,20 min,frying,Lebanon,['general']
Lentil Soup,Hearty and healthy soup packed with lentils and veggies.,"Sauté onions, garlic, add lentils and broth. Simmer until soft.","lentil, soup, salt, pepper",lunch,corn allergy,541,29.28,20.36,5.42,medium,35 min,grilling,Greece,['vegan']
Zucchini Noodle Stir-fry,Low-carb stir-fry made with spiralized zucchini.,"Sauté zucchini noodles with soy sauce, garlic, and veggies.","zucchini, noodle, stir-fry, salt, pepper",lunch,corn allergy,739,19.62,80.96,13.23,hard,53 min,roasting,Thailand,['general']
Stuffed Bell Peppers,"Bell peppers filled with rice, beans, and herbs.","Cut and hollow peppers, stuff with rice/beans mix, bake until tender.","stuffed, bell, peppers, salt, pepper",lunch,corn allergy,499,22.24,83.85,24.0,easy,53 min,grilling,USA,"['vegan', 'gluten_free']"
Grilled Salmon,Delicious salmon fillet grilled with herbs.,"Marinate salmon with lemon and herbs, grill until flaky.","grilled, salmon, salt, pepper",dinner,corn allergy,681,30.5,47.22,23.26,hard,46 min,roasting,France,['general']
Vegetable Paella,Spanish rice dish with vibrant vegetables.,"Cook rice with saffron, add sautéed veggies and simmer.","vegetable, paella, salt, pepper",dinner,corn allergy,301,13.44,30.91,26.42,medium,38 min,steaming,Thailand,['gluten_free']
Beef Stir-Fry,Quick Asian-style stir-fry with beef and veggies.,"Sear beef strips, add soy sauce, garlic, and vegetables.","beef, stir-fry, salt, pepper",dinner,corn allergy,366,30.19,60.69,18.03,easy,26 min,baking,Japan,"['vegan', 'paleo']"
Eggplant Parmesan,Baked eggplant with marinara and cheese.,"Bread eggplant slices, bake with tomato sauce and cheese.","eggplant, parmesan, salt, pepper",dinner,corn allergy,592,24.03,56.43,24.94,easy,27 min,boiling,Mexico,"['vegetarian', 'keto']"
Coconut Curry,Creamy curry made with coconut milk and spices.,"Cook onions, garlic, add curry paste and coconut milk, simmer.","coconut, curry, salt, pepper",dinner,corn allergy,754,13.8,94.76,24.13,medium,20 min,baking,USA,"['vegetarian', 'dairy_free']"
Avocado Toast,A fresh and healthy breakfast made with mashed avocado on toasted bread.,"Toast the bread, mash ripe avocado with lemon, and spread over toast. Top with salt and pepper.","avocado, toast, salt, pepper",breakfast,sesame allergy,367,37.1,98.88,23.25,easy,13 min,roasting,India,['keto']
Berry Smoothie Bowl,Refreshing smoothie bowl loaded with berries and granola.,"Blend frozen berries with yogurt, pour into a bowl, and top with granola and fresh fruits.","berry, smoothie, bowl, salt, pepper",breakfast,sesame allergy,334,38.8,79.17,19.0,easy,24 min,raw,Thailand,"['vegan', 'vegetarian', 'paleo']"
Greek Yogurt Parfait,"Layered Greek yogurt with honey, granola, and fresh fruit.","Layer yogurt, granola, and fruit in a glass. Drizzle honey on top.","greek, yogurt, parfait, salt, pepper",breakfast,sesame allergy,586,34.27,68.84,28.77,medium,56 min,boiling,Italy,['vegetarian']
Vegan Banana Pancakes,Fluffy plant-based pancakes with banana flavor.,"Mix mashed banana with flour, almond milk, and baking powder. Cook on skillet until golden.","vegan, banana, pancakes, salt, pepper",breakfast,sesame allergy,288,37.29,52.16,19.24,hard,35 min,baking,Thailand,"['vegan', 'vegetarian', 'dairy_free']"
Scrambled Tofu,"A vegan alternative to scrambled eggs, rich in protein.","Crumble tofu, sauté with turmeric, onions, and spices. Serve hot.","scrambled, tofu, salt, pepper",breakfast,sesame allergy,348,16.41,50.18,12.7,hard,13 min,baking,France,['vegan']
Quinoa Salad,"Colorful salad with quinoa, chickpeas, and vegetables.","Cook quinoa, mix with chopped veggies, chickpeas, olive oil, and lemon juice.","quinoa, salad, salt, pepper",lunch,sesame allergy,294,14.85,97.03,19.73,hard,40 min,baking,Italy,"['vegan', 'keto', 'gluten_free']"
Grilled Chicken Wrap,Tender grilled chicken rolled in a soft tortilla.,"Grill chicken, slice, add lettuce and sauce, wrap in tortilla.","grilled, chicken, wrap, salt, pepper",lunch,sesame allergy,320,13.35,54.38,23.84,medium,44 min,baking,Italy,['general']
Lentil Soup,Hearty and healthy soup packed with lentils and veggies.,"Sauté onions, garlic, add lentils and broth. Simmer until soft.","lentil, soup, salt, pepper",lunch,sesame allergy,656,22.82,67.12,11.49,hard,59 min,frying,France,['vegan']
Zucchini Noodle Stir-fry,Low-carb stir-fry made with spiralized zucchini.,"Sauté zucchini noodles with soy sauce, garlic, and veggies.","zucchini, noodle, stir-fry, salt, pepper",lunch,sesame allergy,405,30.56,68.9,25.22,easy,31 min,raw,Morocco,['general']
Stuffed Bell Peppers,"Bell peppers filled with rice, beans, and herbs.","Cut and hollow peppers, stuff with rice/beans mix, bake until tender.","stuffed, bell, peppers, salt, pepper",lunch,sesame allergy,679,12.5,40.66,23.28,hard,28 min,raw,France,"['vegan', 'gluten_free']"
Grilled Salmon,Delicious salmon fillet grilled with herbs.,"Marinate salmon with lemon and herbs, grill until flaky.","grilled, salmon, salt, pepper",dinner,sesame allergy,259,11.61,21.31,28.93,medium,57 min,steaming,Lebanon,['general']
Vegetable Paella,Spanish rice dish with vibrant vegetables.,"Cook rice with saffron, add sautéed veggies and simmer.","vegetable, paella, salt, pepper",dinner,sesame allergy,281,25.1,76.06,10.83,easy,44 min,roasting,Thailand,['gluten_free']
Beef Stir-Fry,Quick Asian-style stir-fry with beef and veggies.,"Sear beef strips, add soy sauce, garlic, and vegetables.","beef, stir-fry, salt, pepper",dinner,sesame allergy,766,16.86,56.61,16.01,hard,22 min,baking,Morocco,"['vegan', 'paleo']"
Eggplant Parmesan,Baked eggplant with marinara and cheese.,"Bread eggplant slices, bake with tomato sauce and cheese.","eggplant, parmesan, salt, pepper",dinner,sesame allergy,283,28.56,88.27,19.02,medium,22 min,raw,Greece,"['vegetarian', 'keto']"
Coconut Curry,Creamy curry made with coconut milk and spices.,"Cook onions, garlic, add curry paste and coconut milk, simmer.","coconut, curry, salt, pepper",dinner,sesame allergy,387,14.7,71.4,19.71,hard,10 min,baking,France,"['vegetarian', 'dairy_free']"
Avocado Toast,A fresh and healthy breakfast made with mashed avocado on toasted bread.,"Toast the bread, mash ripe avocado with lemon, and spread over toast. Top with salt and pepper.","avocado, toast, salt, pepper",breakfast,mustard allergy,660,27.81,89.77,27.07,easy,46 min,roasting,Lebanon,['keto']
Berry Smoothie Bowl,Refreshing smoothie bowl loaded with berries and granola.,"Blend frozen berries with yogurt, pour into a bowl, and top with granola and fresh fruits.","berry, smoothie, bowl, salt, pepper",breakfast,mustard allergy,607,17.39,89.32,28.93,easy,33 min,grilling,Thailand,"['vegan', 'vegetarian', 'paleo']"
Greek Yogurt Parfait,"Layered Greek yogurt with honey, granola, and fresh fruit.","Layer yogurt, granola, and fruit in a glass. Drizzle honey on top.","greek, yogurt, parfait, salt, pepper",breakfast,mustard allergy,463,27.02,54.66,15.22,easy,42 min,boiling,Greece,['vegetarian']
Vegan Banana Pancakes,Fluffy plant-based pancakes with banana flavor.,"Mix mashed banana with flour, almond milk, and baking powder. Cook on skillet until golden.","vegan, banana, pancakes, salt, pepper",breakfast,mustard allergy,517,12.27,24.12,10.38,hard,41 min,grilling,Lebanon,"['vegan', 'vegetarian', 'dairy_free']"
Scrambled Tofu,"A vegan alternative to scrambled eggs, rich in protein.","Crumble tofu, sauté with turmeric, onions, and spices. Serve hot.","scrambled, tofu, salt, pepper",breakfast,mustard allergy,729,19.67,87.7,6.41,easy,19 min,steaming,Greece,['vegan']
Quinoa Salad,"Colorful salad with quinoa, chickpeas, and vegetables.","Cook quinoa, mix with chopped veggies, chickpeas, olive oil, and lemon juice.","quinoa, salad, salt, pepper",lunch,mustard allergy,594,16.53,69.7,19.11,medium,25 min,raw,France,"['vegan', 'keto', 'gluten_free']"
Grilled Chicken Wrap,Tender grilled chicken rolled in a soft tortilla.,"Grill chicken, slice, add lettuce and sauce, wrap in tortilla.","grilled, chicken, wrap, salt, pepper",lunch,mustard allergy,716,23.82,92.65,23.22,medium,54 min,boiling,Lebanon,['general']
Lentil Soup,Hearty and healthy soup packed with lentils and veggies.,"Sauté onions, garlic, add lentils and broth. Simmer until soft.","lentil, soup, salt, pepper",lunch,mustard allergy,458,33.34,26.46,8.15,hard,45 min,boiling,France,['vegan']
Zucchini Noodle Stir-fry,Low-carb stir-fry made with spiralized zucchini.,"Sauté zucchini noodles with soy sauce, garlic, and veggies.","zucchini, noodle, stir-fry, salt, pepper",lunch,mustard allergy,475,13.42,97.07,23.25,medium,23 min,boiling,Lebanon,['general']
Stuffed Bell Peppers,"Bell peppers filled with rice, beans, and herbs.","Cut and hollow peppers, stuff with rice/beans mix, bake until tender.","stuffed, bell, peppers, salt, pepper",lunch,mustard allergy,576,10.81,37.19,17.34,medium,35 min,boiling,Japan,"['vegan', 'gluten_free']"
Grilled Salmon,Delicious salmon fillet grilled with herbs.,"Marinate salmon with lemon and herbs, grill until flaky.","grilled, salmon, salt, pepper",dinner,mustard allergy,545,14.11,61.89,25.2,medium,44 min,baking,Morocco,['general']
Vegetable Paella,Spanish rice dish with vibrant vegetables.,"Cook rice with saffron, add sautéed veggies and simmer.","vegetable, paella, salt, pepper",dinner,mustard allergy,769,25.42,83.69,11.4,hard,55 min,boiling,Italy,['gluten_free']
Beef Stir-Fry,Quick Asian-style stir-fry with beef and veggies.,"Sear beef strips, add soy sauce, garlic, and vegetables.","beef, stir-fry, salt, pepper",dinner,mustard allergy,762,23.54,96.09,17.76,medium,51 min,boiling,India,"['vegan', 'paleo']"
Eggplant Parmesan,Baked eggplant with marinara and cheese.,"Bread eggplant slices, bake with tomato sauce and cheese.","eggplant, parmesan, salt, pepper",dinner,mustard allergy,461,10.03,94.59,17.93,medium,10 min,grilling,Thailand,"['vegetarian', 'keto']"
Coconut Curry,Creamy curry made with coconut milk and spices.,"Cook onions, garlic, add curry paste and coconut milk, simmer.","coconut, curry, salt, pepper",dinner,mustard allergy,616,29.3,55.84,25.37,medium,37 min,baking,Japan,"['vegetarian', 'dairy_free']"
Avocado Toast,A fresh and healthy breakfast made with mashed avocado on toasted bread.,"Toast the bread, mash ripe avocado with lemon, and spread over toast. Top with salt and pepper.","avocado, toast, salt, pepper",breakfast,lupin allergy,753,20.39,46.94,18.22,easy,13 min,frying,Italy,['keto']
Berry Smoothie Bowl,Refreshing smoothie bowl loaded with berries and granola.,"Blend frozen berries with yogurt, pour into a bowl, and top with granola and fresh fruits.","berry, smoothie, bowl, salt, pepper",breakfast,lupin allergy,341,27.85,58.43,24.26,hard,60 min,raw,Italy,"['vegan', 'vegetarian', 'paleo']"
Greek Yogurt Parfait,"Layered Greek yogurt with honey, granola, and fresh fruit.","Layer yogurt, granola, and fruit in a glass. Drizzle honey on top.","greek, yogurt, parfait, salt, pepper",breakfast,lupin allergy,441,28.56,48.68,25.87,hard,15 min,steaming,Morocco,['vegetarian']
Vegan Banana Pancakes,Fluffy plant-based pancakes with banana flavor.,"Mix mashed banana with flour, almond milk, and baking powder. Cook on skillet until golden.","vegan, banana, pancakes, salt, pepper",breakfast,lupin allergy,360,31.87,54.57,13.29,easy,26 min,roasting,Morocco,"['vegan', 'vegetarian', 'dairy_free']"
Scrambled Tofu,"A vegan alternative to scrambled eggs, rich in protein.","Crumble tofu, sauté with turmeric, onions, and spices. Serve hot.","scrambled, tofu, salt, pepper",breakfast,lupin allergy,540,21.19,46.06,22.22,medium,31 min,baking,Italy,['vegan']
Quinoa Salad,"Colorful salad with quinoa, chickpeas, and vegetables.","Cook quinoa, mix with chopped veggies, chickpeas, olive oil, and lemon juice.","quinoa, salad, salt, pepper",lunch,lupin allergy,662,15.89,72.21,8.73,easy,38 min,steaming,Japan,"['vegan', 'keto', 'gluten_free']"
Grilled Chicken Wrap,Tender grilled chicken rolled in a soft tortilla.,"Grill chicken, slice, add lettuce and sauce, wrap in tortilla.","grilled, chicken, wrap, salt, pepper",lunch,lupin allergy,733,17.63,26.13,27.27,medium,48 min,grilling,Morocco,['general']
Lentil Soup,Hearty and healthy soup packed with lentils and veggies.,"Sauté onions, garlic, add lentils and broth. Simmer until soft.","lentil, soup, salt, pepper",lunch,lupin allergy,343,19.53,78.24,14.19,hard,19 min,boiling,Morocco,['vegan']
Zucchini Noodle Stir-fry,Low-carb stir-fry made with spiralized zucchini.,"Sauté zucchini noodles with soy sauce, garlic, and veggies.","zucchini, noodle, stir-fry, salt, pepper",lunch,lupin allergy,508,10.31,53.79,21.59,hard,24 min,boiling,India,['general']
Stuffed Bell Peppers,"Bell peppers filled with rice, beans, and herbs.","Cut and hollow peppers, stuff with rice/beans mix, bake until tender.","stuffed, bell, peppers, salt, pepper",lunch,lupin allergy,643,39.65,21.6,21.56,easy,18 min,baking,Morocco,"['vegan', 'gluten_free']"
Grilled Salmon,Delicious salmon fillet grilled with herbs.,"Marinate salmon with lemon and herbs, grill until flaky.","grilled, salmon, salt, pepper",dinner,lupin allergy,498,10.18,27.67,21.59,hard,35 min,steaming,USA,['general']
Vegetable Paella,Spanish rice dish with vibrant vegetables.,"Cook rice with saffron, add sautéed veggies and simmer.","vegetable, paella, salt, pepper",dinner,lupin allergy,767,33.28,59.31,26.82,hard,41 min,boiling,Greece,['gluten_free']
Beef Stir-Fry,Quick Asian-style stir-fry with beef and veggies.,"Sear beef strips, add soy sauce, garlic, and vegetables.","beef, stir-fry, salt, pepper",dinner,lupin allergy,673,21.32,43.4,8.97,easy,14 min,steaming,France,"['vegan', 'paleo']"
Eggplant Parmesan,Baked eggplant with marinara and cheese.,"Bread eggplant slices, bake with tomato sauce and cheese.","eggplant, parmesan, salt, pepper",dinner,lupin allergy,646,34.21,65.04,27.66,medium,27 min,roasting,Greece,"['vegetarian', 'keto']"
Coconut Curry,Creamy curry made with coconut milk and spices.,"Cook onions, garlic, add curry paste and coconut milk, simmer.","coconut, curry, salt, pepper",dinner,lupin allergy,540,17.32,77.86,22.92,medium,57 min,boiling,India,"['vegetarian', 'dairy_free']"
Avocado Toast,A fresh and healthy breakfast made with mashed avocado on toasted bread.,"Toast the bread, mash ripe avocado with lemon, and spread over toast. Top with salt and pepper.","avocado, toast, salt, pepper",breakfast,celery allergy,495,24.83,34.46,27.53,hard,52 min,roasting,India,['keto']
Berry Smoothie Bowl,Refreshing smoothie bowl loaded with berries and granola.,"Blend frozen berries with yogurt, pour into a bowl, and top with granola and fresh fruits.","berry, smoothie, bowl, salt, pepper",breakfast,celery allergy,409,28.39,42.73,24.0,easy,44 min,frying,Italy,"['vegan', 'vegetarian', 'paleo']"
Greek Yogurt Parfait,"Layered Greek yogurt with honey, granola, and fresh fruit.","Layer yogurt, granola, and fruit in a glass. Drizzle honey on top.","greek, yogurt, parfait, salt, pepper",breakfast,celery allergy,273,36.61,36.6,7.77,hard,31 min,baking,Morocco,['vegetarian']
Vegan Banana Pancakes,Fluffy plant-based pancakes with banana flavor.,"Mix mashed banana with flour, almond milk, and baking powder. Cook on skillet until golden.","vegan, banana, pancakes, salt, pepper",breakfast,celery allergy,462,32.34,97.24,10.46,hard,42 min,boiling,Lebanon,"['vegan', 'vegetarian', 'dairy_free']"
Scrambled Tofu,"A vegan alternative to scrambled eggs, rich in protein.","Crumble tofu, sauté with turmeric, onions, and spices. Serve hot.","scrambled, tofu, salt, pepper",breakfast,celery allergy,343,19.29,68.86,11.14,hard,55 min,raw,Japan,['vegan']
Quinoa Salad,"Colorful salad with quinoa, chickpeas, and vegetables.","Cook quinoa, mix with chopped veggies, chickpeas, olive oil, and lemon juice.","quinoa, salad, salt, pepper",lunch,celery allergy,756,20.39,71.17,10.24,medium,16 min,roasting,Japan,"['vegan', 'keto', 'gluten_free']"
Grilled Chicken Wrap,Tender grilled chicken rolled in a soft tortilla.,"Grill chicken, slice, add lettuce and sauce, wrap in tortilla.","grilled, chicken, wrap, salt, pepper",lunch,celery allergy,392,11.66,54.79,15.92,hard,49 min,frying,Japan,['general']
Lentil Soup,Hearty and healthy soup packed with lentils and veggies.,"Sauté onions, garlic, add lentils and broth. Simmer until soft.","lentil, soup, salt, pepper",lunch,celery allergy,667,27.83,61.37,17.75,easy,50 min,steaming,Morocco,['vegan']
Zucchini Noodle Stir-fry,Low-carb stir-fry made with spiralized zucchini.,"Sauté zucchini noodles with soy sauce, garlic, and veggies.","zucchini, noodle, stir-fry, salt, pepper",lunch,celery allergy,683,25.09,21.49,13.57,easy,39 min,boiling,Japan,['general']
Stuffed Bell Peppers,"Bell peppers filled with rice, beans, and herbs.","Cut and hollow peppers, stuff with rice/beans mix, bake until tender.","stuffed, bell, peppers, salt, pepper",lunch,celery allergy,623,23.58,98.11,18.38,medium,10 min,baking,Greece,"['vegan', 'gluten_free']"
Grilled Salmon,Delicious salmon fillet grilled with herbs.,"Marinate salmon with lemon and herbs, grill until flaky.","grilled, salmon, salt, pepper",dinner,celery allergy,399,21.9,94.11,12.45,easy,16 min,frying,Thailand,['general']
Vegetable Paella,Spanish rice dish with vibrant vegetables.,"Cook rice with saffron, add sautéed veggies and simmer.","vegetable, paella, salt, pepper",dinner,celery allergy,780,17.13,45.94,28.55,medium,33 min,roasting,Italy,['gluten_free']
Beef Stir-Fry,Quick Asian-style stir-fry with beef and veggies.,"Sear beef strips, add soy sauce, garlic, and vegetables.","beef, stir-fry, salt, pepper",dinner,celery allergy,395,33.37,92.75,15.56,hard,12 min,baking,Italy,"['vegan', 'paleo']"
Eggplant Parmesan,Baked eggplant with marinara and cheese.,"Bread eggplant slices, bake with tomato sauce and cheese.","eggplant, parmesan, salt, pepper",dinner,celery allergy,567,18.17,71.66,27.67,easy,56 min,roasting,France,"['vegetarian', 'keto']"
Coconut Curry,Creamy curry made with coconut milk and spices.,"Cook onions, garlic, add curry paste and coconut milk, simmer.","coconut, curry, salt, pepper",dinner,celery allergy,652,28.14,82.52,20.98,hard,16 min,boiling,Greece,"['vegetarian', 'dairy_free']"
Avocado Toast,A fresh and healthy breakfast made with mashed avocado on toasted bread.,"Toast the bread, mash ripe avocado with lemon, and spread over toast. Top with salt and pepper.","avocado, toast, salt, pepper",breakfast,sulfite sensitivity,591,31.56,52.68,17.56,hard,46 min,steaming,Italy,['keto']
Berry Smoothie Bowl,Refreshing smoothie bowl loaded with berries and granola.,"Blend frozen berries with yogurt, pour into a bowl, and top with granola and fresh fruits.","berry, smoothie, bowl, salt, pepper",breakfast,sulfite sensitivity,520,16.17,76.59,20.27,medium,37 min,frying,Mexico,"['vegan', 'vegetarian', 'paleo']"
Greek Yogurt Parfait,"Layered Greek yogurt with honey, granola, and fresh fruit.","Layer yogurt, granola, and fruit in a glass. Drizzle honey on top.","greek, yogurt, parfait, salt, pepper",breakfast,sulfite sensitivity,420,22.24,83.28,14.98,hard,41 min,steaming,Japan,['vegetarian']
Vegan Banana Pancakes,Fluffy plant-based pancakes with banana flavor.,"Mix mashed banana with flour, almond milk, and baking powder. Cook on skillet until golden.","vegan, banana, pancakes, salt, pepper",breakfast,sulfite sensitivity,760,30.69,38.35,13.1,easy,48 min,raw,France,"['vegan', 'vegetarian', 'dairy_free']"
Scrambled Tofu,"A vegan alternative to scrambled eggs, rich in protein.","Crumble tofu, sauté with turmeric, onions, and spices. Serve hot.","scrambled, tofu, salt, pepper",breakfast,sulfite sensitivity,381,30.38,47.45,18.79,easy,40 min,boiling,France,['vegan']
Quinoa Salad,"Colorful salad with quinoa, chickpeas, and vegetables.","Cook quinoa, mix with chopped veggies, chickpeas, olive oil, and lemon juice.","quinoa, salad, salt, pepper",lunch,sulfite sensitivity,547,18.93,23.64,16.99,hard,52 min,boiling,France,"['vegan', 'keto', 'gluten_free']"
Grilled Chicken Wrap,Tender grilled chicken rolled in a soft tortilla.,"Grill chicken, slice, add lettuce and sauce, wrap in tortilla.","grilled, chicken, wrap, salt, pepper",lunch,sulfite sensitivity,252,12.06,85.99,11.72,easy,18 min,raw,Japan,['general']
Lentil Soup,Hearty and healthy soup packed with lentils and veggies.,"Sauté onions, garlic, add lentils and broth. Simmer until soft.","lentil, soup, salt, pepper",lunch,sulfite sensitivity,290,31.33,79.95,12.02,hard,11 min,grilling,USA,['vegan']
Zucchini Noodle Stir-fry,Low-carb stir-fry made with spiralized zucchini.,"Sauté zucchini noodles with soy sauce, garlic, and veggies.","zucchini, noodle, stir-fry, salt, pepper",lunch,sulfite sensitivity,285,14.39,41.14,13.14,medium,49 min,steaming,USA,['general']
Stuffed Bell Peppers,"Bell peppers filled with rice, beans, and herbs.","Cut and hollow peppers, stuff with rice/beans mix, bake until tender.","stuffed, bell, peppers, salt, pepper",lunch,sulfite sensitivity,394,33.66,34.24,19.37,hard,18 min,steaming,Greece,"['vegan', 'gluten_free']"
Grilled Salmon,Delicious salmon fillet grilled with herbs.,"Marinate salmon with lemon and herbs, grill until flaky.","grilled, salmon, salt, pepper",dinner,sulfite sensitivity,271,26.25,64.88,13.37,hard,32 min,grilling,Thailand,['general']
Vegetable Paella,Spanish rice dish with vibrant vegetables.,"Cook rice with saffron, add sautéed veggies and simmer.","vegetable, paella, salt, pepper",dinner,sulfite sensitivity,650,12.89,25.77,6.98,easy,14 min,boiling,Morocco,['gluten_free']
Beef Stir-Fry,Quick Asian-style stir-fry with beef and veggies.,"Sear beef strips, add soy sauce, garlic, and vegetables.","beef, stir-fry, salt, pepper",dinner,sulfite sensitivity,300,12.27,86.52,13.94,easy,46 min,baking,France,"['vegan', 'paleo']"
Eggplant Parmesan,Baked eggplant with marinara and cheese.,"Bread eggplant slices, bake with tomato sauce and cheese.","eggplant, parmesan, salt, pepper",dinner,sulfite sensitivity,338,17.31,62.96,10.02,medium,18 min,baking,India,"['vegetarian', 'keto']"
